Ciudad,poblacion,County
Albany,98469,Alameda
Alhambra,127764,Los Angeles
Anaheim,350742,Orange
Antioch,110542,Contra Costa
Arden-Arcade,92186,Sacramento
Bakersfield,373640,Kern
Beaumont,118129,Riverside
Berkeley,120972,Alameda
Burbank,105319,Los Angeles
Carlsbad,113453,San Diego
Carson,93281,Los Angeles
Chula Vista,265757,San Diego
Clovis,104180,Fresno
Columbia,133803,Tuolumne
Columbia,133803,Tuolumne
Columbia,119108,Tuolumne
Columbia,119108,Tuolumne
Columbia,99615,Tuolumne
Columbia,99615,Tuolumne
Compton,98462,Los Angeles
Concord,128667,Contra Costa
Corona,164226,Riverside
Corona,109698,Riverside
Costa Mesa,113204,Orange
Daly City,106562,San Mateo
Downey,114219,Los Angeles
Durham,257636,Butte
East Los Angeles,126496,Los Angeles
El Cajon,103679,San Diego
El Monte,116732,Los Angeles
Elk Grove,166913,Sacramento
Escondido,151451,San Diego
Fairfield,112970,Solano
Fontana,207460,San Bernardino
Fremont,232206,Alameda
Fresno,520052,Fresno
Fullerton,140847,Orange
Garden Grove,175393,Orange
Glendale,240126,Los Angeles
Glendale,240126,Los Angeles
Glendale,201020,Los Angeles
Glendale,201020,Los Angeles
Hayward,158289,Alameda
Hesperia,93295,San Bernardino
Hollywood,167664,Los Angeles
Hollywood,149728,Los Angeles
Huntington Beach,201899,Orange
Inglewood,111666,Los Angeles
Irvine,256927,Orange
Jackson,170674,Amador
Lafayette,127657,Contra Costa
Lakewood,152597,Los Angeles
Lancaster,161103,Los Angeles
Lincoln,277348,Placer
Long Beach,474140,Los Angeles
Los Angeles,3971883,Los Angeles
Mission Viejo,97156,Orange
Modesto,211266,Stanislaus
Moreno Valley,204198,Riverside
Murrieta,109830,Riverside
Newark,281944,Alameda
Norwalk,107140,Los Angeles
Oakland,419267,Alameda
Oceanside,175691,San Diego
Ontario,171214,San Bernardino
Orange,140992,Orange
Oxnard,207254,Ventura
Palmdale,158351,Los Angeles
Paradise,223167,Butte
Pasadena,153784,Los Angeles
Pasadena,153784,Los Angeles
Pasadena,142250,Los Angeles
Pasadena,142250,Los Angeles
Pomona,153266,Los Angeles
Quincy,93618,Plumas
Rancho Cucamonga,175236,San Bernardino
Rialto,103132,San Bernardino
Richmond,220289,Contra Costa
Richmond,220289,Contra Costa
Richmond,109708,Contra Costa
Richmond,109708,Contra Costa
Riverside,322424,Riverside
Roseville,130269,Placer
Sacramento,490712,Sacramento
Salinas,157380,Monterey
San Bernardino,216108,San Bernardino
San Diego,1394928,San Diego
San Francisco,864816,San Francisco
San Jose,1026908,Santa Clara
San Marcos,92931,San Diego
San Mateo,103536,San Mateo
Santa Ana,335400,Orange
Santa Clara,126215,Santa Clara
Santa Clarita,182371,Los Angeles
Santa Maria,105093,Santa Barbara
Santa Monica,93220,Los Angeles
Santa Rosa,174972,Sonoma
Simi Valley,126788,Ventura
South Gate,96401,Los Angeles
Spring Valley,178395,San Diego
Stockton,305658,San Joaquin
Sunnyvale,151754,Santa Clara
Temecula,112011,Riverside
Thornton,133451,San Joaquin
Thousand Oaks,129339,Ventura
Torrance,148475,Los Angeles
Universal City,105000,Los Angeles
Vacaville,96803,Solano
Valencia,148456,Los Angeles
Vallejo,121253,Solano
Van Nuys,136443,Los Angeles
Ventura,96769,Ventura
Victorville,122225,San Bernardino
Visalia,130104,Tulare
Vista,100890,San Diego
West Covina,108484,Los Angeles
Westminster,113130,Orange
Wilmington,115933,Los Angeles
