,gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,state,relative_results,Service options,clasificacion,address_depurada,city,county
2,0x80c2c778e3b73d33:0xbdc58662a4a97d49,San Soo Dang,"San Soo Dang, 761 S Vermont Ave, Los Angeles, CA 90005",34.0580917,-118.2921295,Korean restaurant,4.4,18,Open ⋅ Closes 6PM,"0x80c2c78249aba68f:0x35bf16ce61be751d, 0x80c2c79998f75fff:0xd7ca5c67e96fb778, 0x80c2b899146d7507:0xf4162c12c9cf65f8, 0x80c2c77f2d419951:0x26285631b21e324c, 0x80c2b8add9016015:0x15836f81a963b35f","Takeout, Dine-in, Delivery",Dining Venue,761 S Vermont Ave,Los Angeles,Los Angeles
6,0x80dd2b4c8555edb7:0xfc33d65c4bdbef42,Vons Chicken,"Vons Chicken, 12740 La Mirada Blvd, La Mirada, CA 90638",33.9164023,-118.010855,Restaurant,4.5,18,Open ⋅ Closes 9:30PM,Sin resultados vinculados,"Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,12740 La Mirada Blvd,La Mirada,Los Angeles
761,0x80c2baf50d29bf63:0x5bd904b842b9fcc,La Potranca,"La Potranca, 12821 Venice Blvd., Los Angeles, CA 90066",34.0001808,-118.4412489,Restaurant,4.2,13,Closed ⋅ Opens 10AM,"0x80c2bac345536273:0x8b015c3512788465, 0x80c2cca7f8b96e41:0x38e7a59fe1a2544a, 0x80c2bbe711441989:0x1265980635972b08","Dine-in, Delivery",Dining Venue,12821 Venice Blvd.,Los Angeles,Los Angeles
1426,0x80dc976f028eb61d:0x1a5ed32889a67122,Circle K,"Circle K, 16331 Lakeshore Dr, Lake Elsinore, CA 92530",33.6898618,-117.3761513,"Convenience store, ATM, Coffee shop, Coffee store, Public bathroom, Snack bar, Soft drinks shop",3.5,24,Open 24 hours,"0x80dc99d523c8983b:0x5bcf75a72567785e, 0x80dc9987b7c81be7:0x9de20147825c505f, 0x80dc99bfce7c6659:0xbf01089552971200, 0x80dc9bc438c0455b:0x5b9e20ad0f11a91d, 0x80dc9760a794c19d:0x862f9be360863337","In-store shopping, Delivery",Café & Coffee,16331 Lakeshore Dr,Lake Elsinore,Riverside
1548,0x80c2d765f8c90a3d:0x16afb75943e7ad50,Cowboy Burgers & BBQ,"Cowboy Burgers & BBQ, 13101 Ramona Blvd, Baldwin Park, CA 91706",34.0799951,-117.9889514,"Hamburger restaurant, American restaurant, Barbecue restaurant, Fast food restaurant, Mexican restaurant, Sandwich shop",3.7,38,Closed ⋅ Opens 6AM,"0x80c2d765f8dd4ebf:0xb6baf31e3e536ffa, 0x80c2d785ff133c4f:0xb557bd748da8bdc8, 0x80c2d7858a9165d1:0x746e2deaa15d9ccf, 0x80c2d7921f07343b:0x1c04d13593fea4b8, 0x80c2d7a31187e5cf:0x9deee1cc6e4e46ba","Drive-through, Takeout, Dine-in, Delivery",Dining Venue,13101 Ramona Blvd,Baldwin Park,Los Angeles
2237,0x54d15b5c2681df95:0xa611357b2e497e58,Beau Pre Cafe,"Beau Pre Cafe, 1777 Norton Rd, McKinleyville, CA 95519",40.9629139,-124.0962378,"Cafe, Breakfast restaurant, Hamburger restaurant, Lunch restaurant",4.6,18,Closed ⋅ Opens 9AM,Sin resultados vinculados,"Outdoor seating, Takeout, Dine-in, Delivery",Dining Venue,1777 Norton Rd,McKinleyville,Humboldt
2750,0x80dc736926023cb9:0xb3377acd90a46f16,Chin's Szechwan - Carlsbad,"Chin's Szechwan - Carlsbad, 2820 Roosevelt St, Carlsbad, CA 92008",33.1623625,-117.3491095,"Chinese restaurant, Asian fusion restaurant, Chinese noodle restaurant, Dumpling restaurant, Soup restaurant",4.8,48,Closed ⋅ Opens 11:30AM Thu,Sin resultados vinculados,"Curbside pickup, No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,2820 Roosevelt St,Carlsbad,San Diego
3675,0x8085875ce042646d:0xd289103cd80a0a97,Hotei Restaurant,"Hotei Restaurant, 1290 9th Ave, San Francisco, CA 94122",37.764405,-122.466102,Restaurant,3.5,28,None,0x8085875da35c9f8d:0x3a58fad2decd578f,Delivery,Dining Venue,1290 9th Ave,San Francisco,San Francisco
3676,0x808f7fd770b93dfd:0x9163bc5a8883c63b,Mijita,"Mijita, 24 Willie Mays Plaza, San Francisco, CA 94017",37.7781747,-122.3907248,"Mexican restaurant, Restaurant",3.4,8,None,"0x80858078a8309d49:0x8c5b9cd82e5dc974, 0x8085807d55690c07:0x296a154b943bf82c",Delivery,Dining Venue,24 Willie Mays Plaza,San Francisco,San Francisco
3886,0x80c331f0c314eff3:0xe697c3eff85c3314,WaBa Grill,"WaBa Grill, 2209 E Baseline Rd Ste 600, Claremont, CA 91711",34.1227908,-117.6934573,"Asian fusion restaurant, Asian restaurant, Fast food restaurant, Health food restaurant, Rice restaurant",3.3,25,Closes soon ⋅ 9PM ⋅ Opens 10AM Thu,"0x80c33140ec8442a1:0x69adb361ed7f5329, 0x80c331671acf7ec3:0x3810e03056927c6b, 0x80c3304c64fccfaf:0xeb3ab07242016066, 0x80c336d6c2fb7e15:0x1a042adc5d19c07f","No-contact delivery, Delivery, Takeout, Dine-in",Dining Venue,2209 E Baseline Rd Ste 600,Claremont,Los Angeles
